fold,class,positives,negatives,true positives,false positives,true negatives,false negatives,precision,recall,f-score,AUC
,Binds_To,18,1375,2,5,1370,16,0.2857142857142857,0.1111111111111111,0.16,N/A
,neg,1375,18,1370,16,2,5,0.9884559884559885,0.9963636363636363,0.9923940601231438,N/A
,micro,18,1375,2,5,1370,16,0.2857142857142857,0.1111111111111111,0.16,N/A
,macro,0,0,0,0,0,0,0.2857142857142857,0.1111111111111111,0.16,N/A
,untyped,18,1375,2,5,1370,16,0.2857142857142857,0.1111111111111111,0.16,N/A
,untyped undirected,0,0,0,0,0,0,,,,N/A
