fold,class,positives,negatives,true positives,false positives,true negatives,false negatives,precision,recall,f-score,AUC
,Binds_To,18,1375,1,0,1375,17,1.0,0.05555555555555555,0.10526315789473684,N/A
,neg,1375,18,1375,17,1,0,0.9877873563218391,1.0,0.9938561619082038,N/A
,micro,18,1375,1,0,1375,17,1.0,0.05555555555555555,0.10526315789473684,N/A
,macro,0,0,0,0,0,0,1.0,0.05555555555555555,0.10526315789473684,N/A
,untyped,18,1375,1,0,1375,17,1.0,0.05555555555555555,0.10526315789473684,N/A
,untyped undirected,0,0,0,0,0,0,,,,N/A
